reading	word	pos	japanese_form
あいんしゅたいん	Einstein	noun	アインシュタイン
あいゔぁんほう	Ivanhowe	noun	アイヴァンホウ
あいゔぁー	Ivar	noun	アイヴァー
あいゔぃくとりー	Ivictory	noun	アイヴィクトリー
あうえぼ	A Huevo	noun	アウエボ
あうえゔぉ	A Huevo	noun	アウエヴォ
あうざーん	Awzaan	noun	アウザーン
あうだーりゃ	Audarya	noun	アウダーリャ
あうとおぶざぼっくす	Outofthebox	noun	アウトオブザボックス
あうとすとりっぷ	Outstrip	noun	アウトストリップ
あうとばっくぷりんす	Outback Prince	noun	アウトバックプリンス
あうとふぉーあすぴん	Out for a Spin	noun	アウトフォーアスピン
あうとわーく	Outwork	noun	アウトワーク
あえりあな	Aeliana	noun	アエリアナ
あかてなんご	Acatenango	noun	アカテナンゴ
あかーりど	Aqaarid	noun	アカーリド
あきーどもふぃーど	Akeed Mofeed	noun	アキードモフィード
あくあだもーれ	Aqua D'Amore	noun	アクアダモーレ
あくあぴゅーら	Aqua D'Amore	noun	アクアピューラ
あくあふぉびあ	Aquaphobia	noun	アクアフォビア
あくあれりすと	Aquarelliste	noun	アクアレリスト
あくしでんたるえーじぇんと	Accidental Agent	noun	アクシデンタルエージェント
あくしょんでぃすでい	Action This Day	noun	アクションディスデイ
あくせられーと	Accelerate	noun	アクセラレート
あくらめいしょん	Acclamation	noun	アクラメイション
あくらめーしょん	Acclamation	noun	アクラメーション
あくらーむ	Aqlaam	noun	アクラーム
あくれいむ	Aclaim	noun	アクレイム
あけなとん	Akhenaton	noun	アケナトン
あけーすおぶゆー	A Case Of You	noun	アケースオブユー
あげいん	Again	noun	アゲイン
あこま	Acoma	noun	アコマ
あさーてぃぶらっど	Assertive Lad	noun	アサーティブラッド
あさーてぃゔらっど	Assertive Lad	noun	アサーティヴラッド
あざむーる	Azamour	noun	アザムール
あししえんぷれ	Asi Siempre	noun	アシシエンプレ
あしすてんと	Assistent	noun	アシステント
あしゃど	Ashado	noun	アシャド
あしゅからに	Ashkalani	noun	アシュカラニ
あしゅかるうぇい	Ashkal Way	noun	アシュカルウェイ
あじな	Ajina	noun	アジナ
あじまんぷりんせす	Ajman Princess	noun	アジマンプリンセス
あすく	Ask	noun	アスク
あすくざむーん	Ask The Moon	noun	アスクザムーン
あすくふぉーざむーん	Ask For The Moon	noun	アスクフォーザムーン
あすたらばど	Astarabad	noun	アスタラバド
あすたーん	Astern	noun	アスターン
あすてあ	Astaire	noun	アステア
あすてりっくす	Asterix	noun	アステリックス
あすとら	Astra	noun	アストラ
あすとろのまーろいやる	Astronomer Royal	noun	アストロノマーロイヤル
あすぴでぃすとら	Aspidistra	noun	アスピディストラ
あすふぉーら	Asfoora	noun	アスフォーラ
あすぺたー	Aspetar	noun	アスペター
あすぺんぐろーぶ	Aspen Grove	noun	アスペングローブ
あすぺんぐろーゔ	Aspen Grove	noun	アスペングローヴ
あずいんでぃけーてっど	As Indicated	noun	アズインディケーテッド
あずかでりあ	Azkadellia	noun	アズカデリア
あずたいむごーずばい	As Time Goes By	noun	アズタイムゴーズバイ
あせんど	Ascend	noun	アセンド
あぜり	Azeri	noun	アゼリ
あたっちおぶるびー	A Touch Of Ruby	noun	アタッチオブルビー
あだいやー	Adayar	noun	アダイヤー
あだも	Adhamo	noun	アダモ
あってぃか	Attica	noun	アッティカ
あっぷうぃずざばーず	Up With the Birds	noun	アップウィズザバーズ
あっぷせっとひむ	Upsetthym	noun	アップセットヒム
あっぷとぅざまーく	Up to the Mark	noun	アップトゥザマーク
あっぷるつりー	Apple Tree	noun	アップルツリー
あてぃかす	Atticus	noun	アティカス
あてぃしゅ	Atishu	noun	アティシュ
あてな	Athena	noun	アテナ
あであまなー	Adare Manor	noun	アデアマナー
あでぃくてぃぶはびっと	Addictive Habit	noun	アディクティブハビット
あでぃくてぃゔはびっと	Addictive Habit	noun	アディクティヴハビット
あでいぶ	Addeybb	noun	アデイブ
あでゅー	Adieu	noun	アデュー
あとみっくふぉーす	Atomic Force	noun	アトミックフォース
あとらくしょん	Attraction	noun	アトラクション
あとらんて	Atlante	noun	アトランテ
あとらんてぃっくじゅえる	Atlantic Jewel	noun	アトランティックジュエル
あとりしょん	Attrition	noun	アトリション
あとー	Ato	noun	アトー
あとーん	Atone	noun	アトーン
あどあるた	Ad Alta	noun	アドアルタ
あどばたいず	Advertise	noun	アドバタイズ
あどばろれむ	Ad Valorem	noun	アドバロレム
あどべんたどーる	Adventador	noun	アドベンタドール
あどまいす	Admise	noun	アドマイス
あどみらるきとぅん	Admiral Kitten	noun	アドミラルキトゥン
あどらーふるく	Adlerflug	noun	アドラーフルク
あどれーしょん	Adoration	noun	アドレーション
あどゔぁたいず	Advertise	noun	アドヴァタイズ
あどゔぁろれむ	Ad Valorem	noun	アドヴァロレム
あどゔぇんたどーる	Adventador	noun	アドヴェンタドール
あなうんす	Announce	noun	アナウンス
あなかうんてっどふぉー	Unaccounted For	noun	アナカウンテッドフォー
あなざーうぃる	Another Wil	noun	アナザーウィル
あなざーぷろふぇっと	Another Prophet	noun	アナザープロフェット
あなちーば	Anacheeva	noun	アナチーバ
あなちーゔぁ	Anacheeva	noun	アナチーヴァ
あなばあ	Anabaa	noun	アナバア
あなばんだな	Anabandana	noun	アナバンダナ
あなばー	Anabaa	noun	アナバー
あなばーぶるー	Anabaa Blue	noun	アナバーブルー
あなぷるな	Anapurna	noun	アナプルナ
あなぽりす	Annapolis	noun	アナポリス
あなまと	Anamato	noun	アナマト
あなもー	Anamoe	noun	アナモー
あなるずおぶたいむ	Annals of Time	noun	アナルズオブタイム
あにせっと	Anisette	noun	アニセット
あにぜっと	Anisette	noun	アニゼット
あにまるきんぐだむ	Animal Kingdom	noun	アニマルキングダム
あにーず	Anees	noun	アニーズ
あにーぱわー	Annie Power	noun	アニーパワー
あのこなー	Annoconnor	noun	アノコナー
あのこんなー	Annoconnor	noun	アノコンナー
あばいあんす	Aviance	noun	アバイアンス
あばぶざかーぶ	Above The Curve	noun	アバブザカーブ
あばぶざかーゔ	Above The Curve	noun	アバブザカーヴ
あばぶでっく	Above Deck	noun	アバブデック
あばんさーど	Avanzado	noun	アバンサード
あばんたーじゅ	Avantage	noun	アバンタージュ
あばんちゅーる	Aventure	noun	アバンチュール
あばんてーじ	Avantage	noun	アバンテージ
あばゔざかーぶ	Above The Curve	noun	アバヴザカーブ
あばゔざかーゔ	Above The Curve	noun	アバヴザカーヴ
あばゔでっく	Above Deck	noun	アバヴデック
あぱっちきゃっと	Apache Cat	noun	アパッチキャット
あぱっちきんぐ	Apache King	noun	アパッチキング
あぱっちちぇいす	Apache Chase	noun	アパッチチェイス
あびりおす	Avilius	noun	アビリオス
あびーまりー	Abbey Marie	noun	アビーマリー
あぴあらんす	Appearance	noun	アピアランス
あぴーりんぐぞふぃー	Appealing Zophie	noun	アピーリングゾフィー
あふぁーむど	Affirmed	noun	アファームド
あふぁーむどさくせす	Affirmed Success	noun	アファームドサクセス
あふぇああすいーぶる	Affaire A Suivre	noun	アフェアアスイーブル
あふぇああすいーゔる	Affaire A Suivre	noun	アフェアアスイーヴル
あふたぬーんでぃーらいつ	Afternoon Deelites	noun	アフタヌーンディーライツ
あふたーまーけっと	After Market	noun	アフターマーケット
あふりかんすとーりー	African Story	noun	アフリカンストーリー
あふりかんろーず	African Rose	noun	アフリカンローズ
あふりーとあれっくす	Afleet Alex	noun	アフリートアレックス
あふりーとえくすぷれす	Afleet Express	noun	アフリートエクスプレス
あふるえんと	Affluent	noun	アフルエント
あぶそりゅーとちゃんぴおん	Absolute Champion	noun	アブソリュートチャンピオン
あぶそるーとちゃんぴおん	Absolute Champion	noun	アブソルートチャンピオン
あぶそるーとりー	Absolutely	noun	アブソルートリー
あぶにーるせるたん	Avenir Certain	noun	アブニールセルタン
あぷてぃちゅーど	Aptitude	noun	アプティチュード
あぷろーちざべんち	Approach the Bench	noun	アプローチザベンチ
あべるたすまん	Abel Tasman	noun	アベルタスマン
あべんじ	Avenge	noun	アベンジ
あほぬーら	Ahonoora	noun	アホヌーラ
あぽかりぷてぃっく	Apocalyptic	noun	アポカリプティック
あまじっくまん	A Magicman	noun	アマジックマン
あまぞんび	Amazombie	noun	アマゾンビ
あまでうすうるふ	Amadeus Wolf	noun	アマデウスウルフ
あまに	Amani	noun	アマニ
あまるふぃ	Amalfi	noun	アマルフィ
あまれっと	Amarette	noun	アマレット
あまれりんは	Amarelinha	noun	アマレリンハ
あまろん	Amaron	noun	アマロン
あまんぷーる	Amanpour	noun	アマンプール
あみかす	Amicus	noun	アミカス
あみりんくす	Amilynx	noun	アミリンクス
あみーらっと	Ameerat	noun	アミーラット
あめりあずじゅえる	Amelia's Jewel	noun	アメリアズジュエル
あめりかあらいぶ	America Alive	noun	アメリカアライブ
あめりかあらいゔ	America Alive	noun	アメリカアライヴ
あめりかん	Americain	noun	アメリカン
あめりかんあふぇあ	American Affair	noun	アメリカンアフェア
あめりかんぎゃる	American Gal	noun	アメリカンギャル
あめりかんせおれむ	American Theorem	noun	アメリカンセオレム
あめりかんふぁらお	American Pharoah	noun	アメリカンファラオ
あめりかんぺいとりおっと	American Patriot	noun	アメリカンペイトリオット
あめりかんぽすと	American Post	noun	アメリカンポスト
あめりかんれぼりゅーしょん	Americanrevolution	noun	アメリカンレボリューション
あめりかんれゔぉりゅーしょん	Americanrevolution	noun	アメリカンレヴォリューション
あめりく	Amerique	noun	アメリク
あめーじんぐまりあ	Amazing Maria	noun	アメージングマリア
あもくら	Amokura	noun	アモクラ
あもにた	Amonita	noun	アモニタ
あもらま	Amorama	noun	アモラマ
あもんぐめん	Among Men	noun	アモングメン
あもーれい	A Mo Reay	noun	アモーレイ
あやざーく	Haya Zark	noun	アヤザーク
あらいん	Align	noun	アライン
あらごーん	Aragorn	noun	アラゴーン
あらじ	Arazi	noun	アラジ
あらばまえくすぷれす	Alabama Express	noun	アラバマエクスプレス
あらぱほ	Arapaho	noun	アラパホ
あらぱほみす	Arapaho Miss	noun	アラパホミス
あらびあんくいーん	Arabian Queen	noun	アラビアンクイーン
あらびあんらいおん	Arabian Lion	noun	アラビアンライオン
あらべーる	Arravale	noun	アラベール
あらむしゃー	Alamshar	noun	アラムシャー
あらもさ	Alamosa	noun	アラモサ
あらもーさ	Alamosa	noun	アラモーサ
あらんでぃ	Alandi	noun	アランディ
あらゔぇーる	Arravale	noun	アラヴェール
あらーふぁ	Araafa	noun	アラーファ
ありえーじ	Ariege	noun	アリエージ
ありげーたーぶらっど	Alligator Blood	noun	アリゲーターブラッド
ありすすぷりんぐす	Alice Springs	noun	アリススプリングス
ありすてぃあ	Aristia	noun	アリスティア
ありぞなぶれいず	Arizona Blaze	noun	アリゾナブレイズ
ありでぃーど	Alydeed	noun	アリディード
ありろいやる	Ali-Royal	noun	アリロイヤル
ありんぎ	Alinghi	noun	アリンギ
ありーぜー	Alizee	noun	アリーゼー
ありーな	Arena	noun	アリーナ
あるうけあ	Al Wukair	noun	アルウケア
あるかざー	Alcazar	noun	アルカザー
あるかじーむ	Al Kazeem	noun	アルカジーム
あるかせっと	Alkaased	noun	アルカセット
あるかでぃあくいーん	Arcadia Queen	noun	アルカディアクイーン
あるかんぐ	Arcangues	noun	アルカング
あるかんじぇろ	Arcangelo	noun	アルカンジェロ
あるかーの	Arcano	noun	アルカーノ
あるこぽっぷ	Alcopop	noun	アルコポップ
あるこーるふりー	Alcohol Free	noun	アルコールフリー
あるごす	Argos	noun	アルゴス
あるざお	Alzao	noun	アルザオ
あるしぇまり	Al Shemali	noun	アルシェマリ
あるしぇまーり	Al Shemali	noun	アルシェマーリ
あるじゃぶる	Aljabr	noun	アルジャブル
あるずぎゃる	Al's Gal	noun	アルズギャル
あるそん	Alson	noun	アルソン
あるたの	Altano	noun	アルタノ
あるてぃえり	Altieri	noun	アルティエリ
あるてぃおーる	Altior	noun	アルティオール
あるてぃか	Althiqa	noun	アルティカ
あるてぃすとろわいやる	Artiste Royal	noun	アルティストロワイヤル
あるてぃめっといーぐる	Ultimate Eagle	noun	アルティメットイーグル
あるてみすあぐろてら	Artemis Agrotera	noun	アルテミスアグロテラ
あるてりて	Alterite	noun	アルテリテ
あるでぃざ	Aldiza	noun	アルディザ
あるでばらん	Aldebaran	noun	アルデバラン
あるとりうす	Artorius	noun	アルトリウス
あるな	Aruna	noun	アルナ
あるなするあるわしーく	Alnasr Alwasheek	noun	アルナスルアルワシーク
あるはーす	Alhaarth	noun	アルハース
あるばすたー	Alva Starr	noun	アルバスター
あるばのば	Albanova	noun	アルバノバ
あるばのゔぁ	Albanova	noun	アルバノヴァ
あるばー	Albahr	noun	アルバー
あるばーた	Alverta	noun	アルバータ
あるばーたすまきします	Albertus Maximus	noun	アルバータスマキシマス
あるばーとざぐれーと	Albert The Great	noun	アルバートザグレート
あるばーとざふぁっと	Albert The Fat	noun	アルバートザファット
あるぱいんすたー	Alpine Star	noun	アルパインスター
あるびぐな	Albigna	noun	アルビグナ
あるぴにすた	Alpinista	noun	アルピニスタ
あるふ	Alf	noun	アルフ
あるふぁ	Alpha	noun	アルファ
あるふぁけんたうり	Alpha Centauri	noun	アルファケンタウリ
あるふぁせんとーり	Alpha Centauri	noun	アルファセントーリ
あるふぁでるふぃに	Alpha Delphini	noun	アルファデルフィニ
あるふぁべっときっせす	Alphabet Kisses	noun	アルファベットキッセス
あるふぁべっとすーぷ	Alphabet Soup	noun	アルファベットスープ
あるふすん	Al Husn	noun	アルフスン
あるふれっどのーべる	Alfred Nobel	noun	アルフレッドノーベル
あるぶーむふぉと	Al Boum Photo	noun	アルブームフォト
あるぷらいど	Alpride	noun	アルプライド
あるぺんろーぜ	Alpine Rose	noun	アルペンローゼ
あるぼらーだ	Alborada	noun	アルボラーダ
あるぼれあ	Arborea	noun	アルボレア
あるまかむ	Almaqam	noun	アルマカム
あるまだ	Armada	noun	アルマダ
あるまなーる	Almanaar	noun	アルマナール
あるまはー	Al Maher	noun	アルマハー
あるまふむーど	Almahmoud	noun	アルマフムード
あるまへる	Al Maher	noun	アルマヘル
あるまらど	Almalad	noun	アルマラド
あるまんすーる	Al Mansour	noun	アルマンスール
あるまんぞる	Almanzor	noun	アルマンゾル
あるまんだん	Almandin	noun	アルマンダン
あるまーむーど	Almahmoud	noun	アルマームード
あるむたわける	Almutawakel	noun	アルムタワケル
あるむふてぃ	Al Mufti	noun	アルムフティ
あるめらく	Almeraq	noun	アルメラク
あるめりた	Almerita	noun	アルメリタ
あるりふぁー	Al Riffa	noun	アルリファー
あるわけーる	Al Wukair	noun	アルワケール
あるわじーは	Alwajeeha	noun	アルワジーハ
あるゔぁすたー	Alva Starr	noun	アルヴァスター
あるゔぁーた	Alverta	noun	アルヴァータ
あれいおん	Areion	noun	アレイオン
あれいびあんないと	Arabian Knight	noun	アレイビアンナイト
あれいびんぐびゅーてぃ	A Raving Beauty	noun	アレイビングビューティ
あれいびんぐびゅーてぃー	A Raving Beauty	noun	アレイビングビューティー
あれいゔぃんぐびゅーてぃ	A Raving Beauty	noun	アレイヴィングビューティ
あれいゔぃんぐびゅーてぃー	A Raving Beauty	noun	アレイヴィングビューティー
あれくさんだーごーるどらん	Alexander Goldrun	noun	アレクサンダーゴールドラン
あれくさんだーたんご	Alexander Tango	noun	アレクサンダータンゴ
あれくさんどろーば	Alexandrova	noun	アレクサンドローバ
あれくさんどろーゔぁ	Alexandrova	noun	アレクサンドローヴァ
あれぐれった	Allegretta	noun	アレグレッタ
あれぐれっと	Allegretto	noun	アレグレット
あれずすえず	Allez Suez	noun	アレズスエズ
あれずわんだー	Allez Wonder	noun	アレズワンダー
あれっくすざぐれーと	Alex the Great	noun	アレックスザグレート
あろいしあ	Aloisia	noun	アロイシア
あろういーぐる	Arrow Eagle	noun	アロウイーグル
あろげーと	Arrogate	noun	アロゲート
あろは	Aloha	noun	アロハ
あろはうえすと	Aloha West	noun	アロハウエスト
あろーいーぐる	Arrow Eagle	noun	アローイーグル
あわいるどらいど	A Wild Ride	noun	アワイルドライド
あわっど	Awad	noun	アワッド
あわーあいばんほー	Our Ivanhowe	noun	アワーアイバンホー
あわーあいゔぁんほー	Our Ivanhowe	noun	アワーアイヴァンホー
あんあーすりー	Unearthly	noun	アンアースリー
あんかるびる	Incarville	noun	アンカルビル
あんかるゔぃる	Incarville	noun	アンカルヴィル
あんがら	Angara	noun	アンガラ
あんくえすちょなぶる	Unquestionable	noun	アンクエスチョナブル
あんくるもー	Uncle Mo	noun	アンクルモー
あんこもんじぇーむず	Uncommon James	noun	アンコモンジェームズ
あんさーらいぶりー	Answer Lively	noun	アンサーライブリー
あんさーらいゔりー	Answer Lively	noun	アンサーライヴリー
あんざむ	Anzum	noun	アンザム
あんしぇいでっど	Unshaded	noun	アンシェイデッド
あんしえんとうぃずだむ	Ancient Wisdom	noun	アンシエントウィズダム
あんじぇられにー	Angela Renee	noun	アンジェラレニー
あんじゅがぶりえる	Ange Gabriel	noun	アンジュガブリエル
あんそにーばんだいく	Anthony Van Dyck	noun	アンソニーバンダイク
あんそにーゔぁんだいく	Anthony Van Dyck	noun	アンソニーヴァンダイク
あんたっぱぶる	Untapable	noun	アンタッパブル
あんたんだん	Intendant	noun	アンタンダン
あんだうてっどりー	Undoubtedly	noun	アンダウテッドリー
あんだーざるーぶる	Under the Louvre	noun	アンダーザルーブル
あんだーざるーゔる	Under the Louvre	noun	アンダーザルーヴル
あんてぃくえりあん	Antiquarian	noun	アンティクエリアン
あんてぃの	Antino	noun	アンティノ
あんてぃめいむ	Auntie Mame	noun	アンティメイム
あんてすぺんど	Antespend	noun	アンテスペンド
あんてろ	Intello	noun	アンテロ
あんですこー	Un De Sceaux	noun	アンデスコー
あんですてぃん	Andestine	noun	アンデスティン
あんでゅー	Undue	noun	アンデュー
あんとのえ	Antonoe	noun	アントノエ
あんとのー	Antonoe	noun	アントノー
あんとぱーる	Aunt Pearl	noun	アントパール
あんとりびえーる	Entriviere	noun	アントリビエール
あんとりゔぃえーる	Entriviere	noun	アントリヴィエール
あんとれぷれなー	Entrepreneur	noun	アントレプレナー
あんどてるみーのーらいず	And Tell Me Nolies	noun	アンドテルミーノーライズ
あんどねじえんぬ	Indonesienne	noun	アンドネジエンヌ
あんどらふてっど	Undrafted	noun	アンドラフテッド
あんどわんもあたいむ	And One More Time	noun	アンドワンモアタイム
あんなもんだ	Anna Monda	noun	アンナモンダ
あんばや	Ambaya	noun	アンバヤ
あんばーすかい	Amber Sky	noun	アンバースカイ
あんびしゃすおーなー	Ambitious Owner	noun	アンビシャスオーナー
あんびしゃすどらごん	Ambitious Dragon	noun	アンビシャスドラゴン
あんびばれんと	Ambivalent	noun	アンビバレント
あんびゅらんす	Ambulance	noun	アンビュランス
あんびゔぁれんと	Ambivalent	noun	アンビヴァレント
あんふぁーるざふらっぐ	Unfurl the Flag	noun	アンファールザフラッグ
あんふぃとらいと	Amphitrite	noun	アンフィトライト
あんふぃとりて	Amphitrite	noun	アンフィトリテ
あんふぉーごとぅん	Unforgotten	noun	アンフォーゴトゥン
あんふぉーちゅねいとりー	Unfortunately	noun	アンフォーチュネイトリー
あんふわいん	Unfuwain	noun	アンフワイン
あんぶらいどるずそんぐ	Unbridled's Song	noun	アンブライドルズソング
あんぶらいどるど	Unbridled	noun	アンブライドルド
あんぶらいどるどえれいん	Unbridled Elaine	noun	アンブライドルドエレイン
あんぶらいどるどこまんど	Unbridled Command	noun	アンブライドルドコマンド
あんぶらいどるどふぉーえばー	Unbridled Forever	noun	アンブライドルドフォーエバー
あんぶらいどるどふぉーえゔぁー	Unbridled Forever	noun	アンブライドルドフォーエヴァー
あんぶらいどるどもー	Unbridled Mo	noun	アンブライドルドモー
あんぼい	Envoy	noun	アンボイ
あんまーと	Anmaat	noun	アンマート
あんらいばるどべる	Unrivaled Belle	noun	アンライバルドベル
あんらいゔぁるどべる	Unrivaled Belle	noun	アンライヴァルドベル
あんりまてぃす	Henri Matisse	noun	アンリマティス
あんゔぉい	Envoy	noun	アンヴォイ
あゔぁいあんす	Aviance	noun	アヴァイアンス
あゔぁんさーど	Avanzado	noun	アヴァンサード
あゔぁんたーじゅ	Avantage	noun	アヴァンタージュ
あゔぁんちゅーる	Aventure	noun	アヴァンチュール
あゔぁんてーじ	Avantage	noun	アヴァンテージ
あゔぃりおす	Avilius	noun	アヴィリオス
あゔぇるまるどぅく	Awelmarduk	noun	アヴェルマルドゥク
あゔぇんじ	Avenge	noun	アヴェンジ
あゔにーるせるたん	Avenir Certain	noun	アヴニールセルタン
あーくてぃっくおうる	Arctic Owl	noun	アークティックオウル
あーくてぃっくこすもす	Arctic Cosmos	noun	アークティックコスモス
あーくてぃっくせんと	Arctic Scent	noun	アークティックセント
あーくてぃっくたーん	Arctic Tern	noun	アークティックターン
あーくろう	Arklow	noun	アークロウ
あーけいでぃあくいーん	Arcadia Queen	noun	アーケイディアクイーン
あーけいでぃあんはいつ	Arcadian Heights	noun	アーケイディアンハイツ
あーごす	Argos	noun	アーゴス
あーさーずらいど	Arthur's Ride	noun	アーサーズライド
あーじぇんとりくえすと	Urgent Request	noun	アージェントリクエスト
あーすくえいく	Earthquake	noun	アースクエイク
あーすらいと	Earthlight	noun	アースライト
あーたっくす	Artax	noun	アータックス
あーだっど	Ardad	noun	アーダッド
あーち	Arch	noun	アーチ
あーちあーちあーち	Archarcharch	noun	アーチアーチアーチ
あーちぺんこ	Archipenko	noun	アーチペンコ
あーてぃしらー	Artie Schiller	noun	アーティシラー
あーてぃすてぃっく	Artistic	noun	アーティスティック
あーてぃーしらー	Artie Schiller	noun	アーティーシラー
あーとこのしゅあー	Art Connoisseur	noun	アートコノシュアー
あーとこれくたー	Art Collector	noun	アートコレクター
あーとさくせす	Art Success	noun	アートサクセス
あーとぱわー	Art Power	noun	アートパワー
あーばんしー	Urban Sea	noun	アーバンシー
あーばんふぉっくす	Urban Fox	noun	アーバンフォックス
あーぶるどぅぐれーす	Havre de Grace	noun	アーブルドゥグレース
あーべい	Ave	noun	アーベイ
あーべいん	Urbane	noun	アーベイン
あーまいん	Ermine	noun	アーマイン
あーみーみゅーる	Army Mule	noun	アーミーミュール
あーむすとろんぐ	Armstrong	noun	アームストロング
あーりんとんろーど	Arlington Road	noun	アーリントンロード
あーりーえくすぷれす	Early Express	noun	アーリーエクスプレス
あーりーぱいおにあ	Early Pioneer	noun	アーリーパイオニア
あーりーぼーてぃんぐ	Early Voting	noun	アーリーボーティング
あーりーゔぉーてぃんぐ	Early Voting	noun	アーリーヴォーティング
あーるおぶてぃんずでーる	Earl of Tinsdal	noun	アールオブティンズデール
あーるおぶばーきんぐ	Earl of Barking	noun	アールオブバーキング
あーるでぃざすたー	R Disaster	noun	アールディザスター
あーるひーとらいとにんぐ	R Heat Lightning	noun	アールヒートライトニング
あーゔぇい	Ave	noun	アーヴェイ
あーゔるどぅぐれーす	Havre de Grace	noun	アーヴルドゥグレース
いぇる	Yell	noun	イェル
いぇーつ	Yeats	noun	イェーツ
いえすいっつとぅるー	Yes It's True	noun	イエスイッツトゥルー
いえすいんでぃーど	Yes Indeed	noun	イエスインディード
いえすたでい	Yesterday	noun	イエスタデイ
いえろーあげーと	Yellow Agate	noun	イエローアゲート
いおた	Iota	noun	イオタ
いおたぱ	Iotapa	noun	イオタパ
いきーとす	Iquitos	noun	イキートス
いくたまる	Iktamal	noun	イクタマル
いぐざじぇれーたー	Exaggerator	noun	イグザジェレーター
いぐれしあ	Iglesia	noun	イグレシア
いけずどりーむ	Ike's Dream	noun	イケズドリーム
いこらいず	Equalize	noun	イコライズ
いこーるすとらいぷす	Equal Stripes	noun	イコールストライプス
いじーとっぷ	Izzi Top	noun	イジートップ
いすか	Isca	noun	イスカ
いすたかりーむ	Ista Kareem	noun	イスタカリーム
いすたぶらく	Istabraq	noun	イスタブラク
いすたぶらっく	Istabraq	noun	イスタブラック
いすてぃだーど	Istidaad	noun	イスティダード
いずりんとん	Islington	noun	イズリントン
いそっぷすふぇいぶるず	Aesop's Fables	noun	イソップスフェイブルズ
いっつあひむ	Ihtsahymn	noun	イッツアヒム
いっつおーるぐりーくとぅみー	Itsallgreektome	noun	イッツオールグリークトゥミー
いっつさむほわっと	It's Somewhat	noun	イッツサムホワット
いっつとりっきー	It's Tricky	noun	イッツトリッキー
いっつまいらっきーでい	Itsmyluckyday	noun	イッツマイラッキーデイ
いってぃずうぇる	It Tiz Well	noun	イッティズウェル
いっとはずとぅーびーゆー	It Has To Be You	noun	イットハズトゥービーユー
いでぃおっとぷるーふ	Idiot Proof	noun	イディオットプルーフ
いでぃおまてぃっく	Idiomatic	noun	イディオマティック
いとう	Ito	noun	イトウ
いなふらりー	Inaflury	noun	イナフラリー
いにしぇりん	Inisherin	noun	イニシェリン
いふらーじ	Iffraaj	noun	イフラージ
いふるっくすくっどきる	Iflooxcouldkill	noun	イフルックスクッドキル
いぶにんぐあたいあ	Evening Attire	noun	イブニングアタイア
いぶにんぐじゅえる	Evening Jewel	noun	イブニングジュエル
いぶんはるどぅーん	Ibn Khaldun	noun	イブンハルドゥーン
いべろ	Ibero	noun	イベロ
